央视地方,#genre#
CCTV-1综合HD,http://121.31.30.90:8085/ysten-business/live/cctv-1/yst.m3u8
CCTV-2财经,http://121.31.30.90:8085/ysten-business/live/cctv-2/yst.m3u8
CCTV-3综艺HD,http://121.31.30.90:8085/ysten-business/live/cctv-3/yst.m3u8
CCTV-4中文国际,http://121.31.30.90:8085/ysten-business/live/cctv-4/yst.m3u8
CCTV-5体育HD,http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8
CCTV-6电影HD,http://121.31.30.90:8085/ysten-business/live/cctv-6/yst.m3u8
CCTV-7军事农业,http://121.31.30.90:8085/ysten-business/live/cctv-7/yst.m3u8
CCTV-8电视剧HD,http://121.31.30.90:8085/ysten-business/live/cctv-8/yst.m3u8
CCTV-9记录,http://121.31.30.90:8085/ysten-business/live/cctv-news/yst.m3u8
CCTV-10科教,http://121.31.30.90:8085/ysten-business/live/cctv-10/yst.m3u8
CCTV-11戏曲,http://121.31.30.90:8085/ysten-business/live/cctv-11/yst.m3u8
CCTV-12社会与法,http://121.31.30.90:8085/ysten-business/live/cctv-12/yst.m3u8
CCTV-13新闻,http://121.31.30.90:8085/ysten-business/live/cctv-13/yst.m3u8
CCTV-14少儿,http://121.31.30.90:8085/ysten-business/live/cctv-14/yst.m3u8
CCTV-15音乐,http://121.31.30.90:8085/ysten-business/live/cctv-15/yst.m3u8
音乐台超清,http://112.17.40.140/PLTV/88888888/224/3221226120/index.m3u8
舌尖上的中国超清,http://aldirect.hls.huya.com/huyalive/30765679-2523417472-10837995516394995712-2847699158-10057-A-1521181527-1_1200.m3u8
湖南卫视,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000153.m3u8
番禺,http://live.pybtv.cn/channel1/sd/live.m3u8
深圳蛇口,http://218.17.99.211:82/hls/d4encs75.m3u8
广东经济科教HD,http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
广东珠江,http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
蛇口综合,http://218.17.99.211:82/hls/d4encs75.m3u8
潮州综合,http://live.zscz0768.com/live/zhpd.m3u8#http://dslive.grtn.cn/czzh/sd/live.m3u8
潮安综合,http://chaoan.chaoantv.com:8278/zongyi_1028/playlist.m3u8
广东影视,http://nclive.grtn.cn/tvs4/sd/live.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
广东少儿,http://nclive.grtn.cn/tvs5/sd/live.m3u8
广东公共,http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东国际,http://nclive.grtn.cn/gjpd/sd/live.m3u8
广东综艺超清,http://nclive.grtn.cn:80/4K/sd/live.m3u8
